#Time RTT(s)
7.89119 0.00698414
7.90164 0.00686113
7.90767 0.00675349
7.9137 0.0066593
7.91972 0.00657689
7.92575 0.00650477
7.93177 0.00644168
7.9378 0.00638647
7.94383 0.00633816
7.94985 0.00629589
7.95588 0.0062589
7.98682 0.0101015
7.98841 0.0137138
8.00489 0.0188746
8.01092 0.0172653
8.01694 0.0158571
8.02297 0.014625
8.0298 0.0144219
8.03502 0.0149941
8.03826 0.0158699
8.04708 0.0146361
8.0531 0.0135566
8.05913 0.012612
8.06515 0.0117855
8.07118 0.0110623
8.07721 0.0104295
8.08323 0.00987585
8.08926 0.00939137
8.09528 0.00896745
8.10131 0.00859652
8.10734 0.00827195
8.11336 0.00798796
8.11939 0.00773946
8.15032 0.011397
8.15635 0.0153474
8.16038 0.019304
8.16318 0.023141
8.1692 0.0209984
8.17523 0.0191236
8.21822 0.0228581
8.22344 0.0267508
8.22747 0.030657
8.23027 0.0276999
8.2335 0.0253624
8.23953 0.0229421
8.24555 0.0208243
8.25158 0.0189713
8.2576 0.0173499
8.30059 0.0213061
8.30861 0.0193929
8.3247 0.0197188
8.33072 0.0180039
8.33675 0.0165034
8.34638 0.0164405
8.3524 0.0151354
8.35843 0.0139935
8.36446 0.0129943
8.37048 0.01212
8.37973 0.011355
8.38576 0.0106856
8.39178 0.0100999
8.39781 0.00958744
8.40384 0.00913901
8.40986 0.00874664
8.41589 0.00840331
8.42191 0.00810289
8.42794 0.00784003
8.43397 0.00761003
8.43999 0.00740877
8.44602 0.00735768
8.45204 0.00718797
8.45807 0.00703947
8.4641 0.00690954
8.47012 0.00679584
8.47615 0.00669636
8.48298 0.00660932
8.48901 0.00665815
8.49503 0.00657588
8.53802 0.0118789
8.54324 0.017144
8.54405 0.021876
8.54405 0.0198915
8.55007 0.0182801
8.5561 0.0167451
8.56212 0.0154019
8.56815 0.0142267
8.5802 0.0131984
8.58623 0.0122986
8.60431 0.0115112
8.6473 0.0161973
8.65854 0.0149227
8.66457 0.0138073
8.67059 0.0128314
8.67662 0.0119775
8.68265 0.0112303
8.68867 0.0105765
8.6947 0.0100044
8.70072 0.00950389
8.70675 0.00906591
8.71278 0.00868267
8.73329 0.0109723
8.73769 0.0134758
8.74371 0.0125413
8.74974 0.0117237
8.77384 0.0140082
8.77987 0.0130072
8.7883 0.0121313
8.79433 0.0113649
8.80035 0.0106943
8.81683 0.0121075
8.82286 0.014094
8.82888 0.0130823
8.84336 0.014072
8.84937 0.015688
8.85539 0.014477
8.86142 0.0141674
8.86585 0.0143964
8.86745 0.0148469
8.87347 0.013741
8.87951 0.0127734
8.88554 0.0119267
8.89156 0.0111859
8.89759 0.0105376
8.90361 0.00997044
8.90964 0.00947414
8.91567 0.00903987
8.92169 0.00865988
8.92772 0.0083274
8.94057 0.00966147
8.9466 0.00920379
8.95263 0.00880332
8.95865 0.0084529
8.96468 0.00814629
8.97071 0.007878
8.97673 0.00764325
8.98277 0.00743784
8.98879 0.00725811
9.00085 0.00710085
9.00687 0.00696324
9.0129 0.00684284
9.06191 0.0128625
9.06794 0.0120047
9.07396 0.0112541
9.07999 0.0105973
9.08602 0.0101477
9.08683 0.0097542
9.09284 0.0101599
9.09886 0.0112649
9.10488 0.0129818
9.11012 0.0152341
9.11695 0.0179548
9.12297 0.0164605
9.12377 0.0152779
9.13503 0.0157432
9.14106 0.0145253
9.14708 0.0142096
9.14788 0.0139334
9.15311 0.0144417
9.15392 0.0148865
9.15995 0.0137757
9.16597 0.0128037
